data_source,year,week,age_group,hsp_rate_rsv
Entire Network (RSV-NET),2019,16,5-11,0.1
Entire Network (RSV-NET),2019,17,5-11,0
Entire Network (RSV-NET),2019,18,5-11,0
Entire Network (RSV-NET),2018,40,0.5-1,4.1
Entire Network (RSV-NET),2018,41,0.5-1,4.7
Entire Network (RSV-NET),2018,42,0.5-1,3
Entire Network (RSV-NET),2018,43,0.5-1,7.1
Entire Network (RSV-NET),2018,44,0.5-1,5.3
Entire Network (RSV-NET),2018,45,0.5-1,9.5
Entire Network (RSV-NET),2018,46,0.5-1,13.6
Entire Network (RSV-NET),2018,47,0.5-1,7.1
Entire Network (RSV-NET),2018,48,0.5-1,17.2
Entire Network (RSV-NET),2018,49,0.5-1,19.5
Entire Network (RSV-NET),2018,50,0.5-1,23.1
Entire Network (RSV-NET),2018,51,0.5-1,29.6
Entire Network (RSV-NET),2018,52,0.5-1,25.4
Entire Network (RSV-NET),2019,1,0.5-1,31.4
Entire Network (RSV-NET),2019,2,0.5-1,23.1
Entire Network (RSV-NET),2019,3,0.5-1,17.8
Entire Network (RSV-NET),2019,4,0.5-1,17.2
Entire Network (RSV-NET),2019,5,0.5-1,29.6
Entire Network (RSV-NET),2019,6,0.5-1,26
Entire Network (RSV-NET),2019,7,0.5-1,18.9
Entire Network (RSV-NET),2019,8,0.5-1,21.9
Entire Network (RSV-NET),2019,9,0.5-1,17.8
Entire Network (RSV-NET),2019,10,0.5-1,11.8
Entire Network (RSV-NET),2019,11,0.5-1,8.3
Entire Network (RSV-NET),2019,12,0.5-1,16.6
Entire Network (RSV-NET),2019,13,0.5-1,6.5
Entire Network (RSV-NET),2019,14,0.5-1,5.9
Entire Network (RSV-NET),2019,15,0.5-1,4.7
Entire Network (RSV-NET),2019,16,0.5-1,5.3
Entire Network (RSV-NET),2019,17,0.5-1,2.4
Entire Network (RSV-NET),2019,18,0.5-1,1.8
Entire Network (RSV-NET),2018,40,65-74,0
Entire Network (RSV-NET),2018,41,65-74,0
Entire Network (RSV-NET),2018,42,65-74,0.2
Entire Network (RSV-NET),2018,43,65-74,0.2
Entire Network (RSV-NET),2018,44,65-74,0
Entire Network (RSV-NET),2018,45,65-74,0.3
Entire Network (RSV-NET),2018,46,65-74,0.2
Entire Network (RSV-NET),2018,47,65-74,0.3
Entire Network (RSV-NET),2018,48,65-74,0.7
Entire Network (RSV-NET),2018,49,65-74,0.5
Entire Network (RSV-NET),2018,50,65-74,0.8
Entire Network (RSV-NET),2018,51,65-74,1.1
Entire Network (RSV-NET),2018,52,65-74,1.5
Entire Network (RSV-NET),2019,1,65-74,1.8
Entire Network (RSV-NET),2019,2,65-74,1.6
Entire Network (RSV-NET),2019,3,65-74,1.5
Entire Network (RSV-NET),2019,4,65-74,1.2
Entire Network (RSV-NET),2019,5,65-74,1.2
Entire Network (RSV-NET),2019,6,65-74,1.3
Entire Network (RSV-NET),2019,7,65-74,1.7
Entire Network (RSV-NET),2019,8,65-74,1.2
Entire Network (RSV-NET),2019,9,65-74,1.3
Entire Network (RSV-NET),2019,10,65-74,0.9
Entire Network (RSV-NET),2019,11,65-74,0.8
Entire Network (RSV-NET),2019,12,65-74,0.9
Entire Network (RSV-NET),2019,13,65-74,0.4
Entire Network (RSV-NET),2019,14,65-74,0.5
Entire Network (RSV-NET),2019,15,65-74,0.4
Entire Network (RSV-NET),2019,16,65-74,0.2
Entire Network (RSV-NET),2019,17,65-74,0.1
Entire Network (RSV-NET),2019,18,65-74,0
Entire Network (RSV-NET),2018,40,75-84,0
Entire Network (RSV-NET),2018,41,75-84,0.2
Entire Network (RSV-NET),2018,42,75-84,0.2
Entire Network (RSV-NET),2018,43,75-84,0.2
Entire Network (RSV-NET),2018,44,75-84,0.5
Entire Network (RSV-NET),2018,45,75-84,0.2
Entire Network (RSV-NET),2018,46,75-84,0.3
