data_source,country,hemisphere,week,year,origin_source,hsp_rate_flu,hsp_rate_rsv,hsp_abs_flu,hsp_abs_rsv,denominator,subtype_a_abs,subtype_b_abs
fluNet,France,NH,3,2019,NONSENTINEL,2.1438311140920194,1.3569678935457796,1444,914,67356052,1430,14
fluNet,France,NH,4,2019,NONSENTINEL,3.796243877239123,1.2589811528739838,2557,848,67356052,2550,7
fluNet,France,NH,4,2019,SENTINEL,0.23012037582012676,0.016331123445299318,155,11,67356052,155,0
fluNet,France,NH,5,2019,NONSENTINEL,5.488742125206507,1.1357554032412707,3697,765,67356052,3689,8
fluNet,France,NH,5,2019,SENTINEL,0.29692951718726035,0.007423237929681509,200,5,67356052,200,0
fluNet,France,NH,6,2019,NONSENTINEL,6.444855170549485,0.988775292233577,4341,666,67356052,4330,11
fluNet,France,NH,6,2019,SENTINEL,0.2850523364997699,0.011877180687490413,192,8,67356052,192,0
fluNet,France,NH,7,2019,NONSENTINEL,5.629783645870456,0.7735013922728131,3792,521,67356052,3780,12
fluNet,France,NH,7,2019,SENTINEL,0.21824319513263635,0.007423237929681509,147,5,67356052,147,0
fluNet,France,NH,8,2019,SENTINEL,0.15737264410924798,0,106,0,67356052,106,0
fluNet,France,NH,8,2019,NONSENTINEL,3.9996405965123967,0.5686200254136036,2694,383,67356052,2685,9
fluNet,France,NH,9,2019,NONSENTINEL,2.1527389996076374,0.40530879096061034,1450,273,67356052,1445,5
fluNet,France,NH,9,2019,SENTINEL,0.1039253310155411,0.00890788551561781,70,6,67356052,70,0
fluNet,France,NH,10,2019,NONSENTINEL,0.9872906446476406,0.24199755650761715,665,163,67356052,657,8
fluNet,France,NH,10,2019,SENTINEL,0.05938590343745207,0.0014846475859363016,40,1,67356052,40,0
fluNet,France,NH,11,2019,NONSENTINEL,0.4646946943980624,0.1915195385857829,313,129,67356052,308,5
fluNet,France,NH,11,2019,SENTINEL,0.054931960679643156,0.0059385903437452064,37,4,67356052,37,0
fluNet,France,NH,12,2019,NONSENTINEL,0.2716905082263432,0.12916433997645824,183,87,67356052,177,6
fluNet,France,NH,12,2019,SENTINEL,0.02820830413278973,0,19,0,67356052,19,0
fluNet,France,NH,13,2019,SENTINEL,0.023754361374980826,0.0014846475859363016,16,1,67356052,14,2
fluNet,France,NH,13,2019,NONSENTINEL,0.13064898756239454,0.11134856894522262,88,75,67356052,84,4
fluNet,France,NH,14,2019,NONSENTINEL,0.09204815032805069,0.08759420757024179,62,59,67356052,59,3
fluNet,France,NH,14,2019,SENTINEL,0.010392533101554111,0,7,0,67356052,7,0
fluNet,France,NH,15,2019,NONSENTINEL,0.06829378895306987,0.0801709696405603,46,54,67356052,41,5
fluNet,France,NH,15,2019,SENTINEL,0.00890788551561781,0.0029692951718726032,6,2,67356052,6,0
fluNet,France,NH,16,2019,NONSENTINEL,0.041570132406216445,0.04899337033589796,28,33,67356052,27,1
fluNet,France,NH,16,2019,SENTINEL,0.0014846475859363016,0,1,0,67356052,0,1
fluNet,France,NH,17,2019,NONSENTINEL,0.014846475859363018,0.02672365654685343,10,18,67356052,9,1
fluNet,France,NH,17,2019,SENTINEL,0,0,0,0,67356052,0,0
fluNet,France,NH,40,2019,NONSENTINEL,0.007423237929681509,0.02672365654685343,5,18,67356052,5,0
fluNet,France,NH,40,2019,SENTINEL,0.0014846475859363016,0,1,0,67356052,0,1
fluNet,France,NH,41,2019,SENTINEL,0.0014846475859363016,0,1,0,67356052,1,0
fluNet,France,NH,41,2019,NONSENTINEL,0.00890788551561781,0.034146894476534934,6,23,67356052,5,1
fluNet,France,NH,42,2019,NONSENTINEL,0.020785066203108223,0.07126308412494248,14,48,67356052,13,1
fluNet,France,NH,42,2019,SENTINEL,0.0014846475859363016,0.0014846475859363016,1,1,67356052,1,0
fluNet,France,NH,43,2019,SENTINEL,0,0,0,0,67356052,0,0
fluNet,France,NH,43,2019,NONSENTINEL,0.01781577103123562,0.17221911996861097,12,116,67356052,9,3
fluNet,France,NH,44,2019,NONSENTINEL,0.014846475859363018,0.1796423578982925,10,121,67356052,6,4
fluNet,France,NH,44,2019,SENTINEL,0,0.0014846475859363016,0,1,67356052,0,0
fluNet,France,NH,45,2019,NONSENTINEL,0.03117759930466233,0.24496685167948978,21,165,67356052,15,6
fluNet,France,NH,45,2019,SENTINEL,0.0029692951718726032,0.0014846475859363016,2,1,67356052,1,1
fluNet,France,NH,46,2019,SENTINEL,0.004453942757808905,0.010392533101554111,3,7,67356052,3,0
fluNet,France,NH,46,2019,NONSENTINEL,0.04305477999215274,0.3607693633825213,29,243,67356052,23,6
fluNet,France,NH,47,2019,NONSENTINEL,0.04750872274996165,0.61167480540575625,32,412,67356052,17,15
fluNet,France,NH,47,2019,SENTINEL,0.00890788551561781,0.007423237929681509,6,5,67356052,6,0
fluNet,France,NH,48,2019,NONSENTINEL,0.093532797913987,0.9145429129367618,63,616,67356052,37,26
fluNet,France,NH,48,2019,SENTINEL,0.016331123445299318,0.025239008960917127,11,17,67356052,6,5
fluNet,France,NH,49,2019,NONSENTINEL,0.13807222549207604,1.2322574963271304,93,830,67356052,49,44
fluNet,France,NH,49,2019,SENTINEL,0.01930041861717192,0.013361828273426715,13,9,67356052,5,8
fluNet,France,NH,50,2019,NONSENTINEL,0.23902826133574456,1.4490160438738304,161,976,67356052,98,63
fluNet,France,NH,50,2019,SENTINEL,0.03563154206247124,0.02672365654685343,24,18,67356052,8,16
fluNet,France,NH,51,2019,SENTINEL,0.05790125585151576,0.029692951718726036,39,20,67356052,18,21
fluNet,France,NH,51,2019,NONSENTINEL,0.4305477999215274,1.486132233522238,290,1001,67356052,172,118
fluNet,France,NH,52,2019,NONSENTINEL,0.5537735495542405,1.481678290764429,373,998,67356052,240,133
fluNet,France,NH,52,2019,SENTINEL,0.02820830413278973,0.00890788551561781,19,6,67356052,7,12
fluNet,France,NH,1,2022,SENTINEL,0.023569271562200782,0.010311556308462842,16,7,67885000,16,0
fluNet,France,NH,1,2022,NONSENTINEL,0.7203358621197614,1.0370479487368345,489,704,67885000,487,2
fluNet,France,NH,2,2022,SENTINEL,0.01620387419901304,0.0029461589452750977,11,2,67885000,11,0
fluNet,France,NH,2,2022,NONSENTINEL,0.7925167562790013,0.7291743389555867,538,495,67885000,538,0
fluNet,France,NH,3,2022,NONSENTINEL,0.7026589084481107,0.4271930470648891,477,290,67885000,473,4
fluNet,France,NH,3,2022,SENTINEL,0.030934668925388528,0.004419238417912646,21,3,67885000,21,0
fluNet,France,NH,4,2022,NONSENTINEL,0.8411283788760403,0.375635265522575,571,255,67885000,566,5
fluNet,France,NH,4,2022,SENTINEL,0.03388082787066362,0.0029461589452750977,23,2,67885000,23,0
fluNet,France,NH,5,2022,SENTINEL,0.0545039404875893,0,37,0,67885000,37,0
fluNet,France,NH,5,2022,NONSENTINEL,0.992855564557708,0.23863887456728292,674,162,67885000,671,3
fluNet,France,NH,6,2022,SENTINEL,0.03830006628857627,0,26,0,67885000,26,0
fluNet,France,NH,6,2022,NONSENTINEL,1.3346100022096192,0.23421963614937025,906,159,67885000,903,3
